x,experiment,tree_ID,spec,drought_timing,block,rep,treatment,drought_start_doy,dendrometer,dendro_start_doy,dendro_end_doy,species_lat,species_en,genus,family,drought_tolerance,drought_index,wood_anatomy,deciduousness,diameter_1_init,diameter_2_init,diameter_3_init,height_1_init,height_2_init,height_3_init,,,diameter_1GS,height_1_corr,diameter_2GS,notes,height_1GS,height1G2,notes_height,SAM_status,doy_stage_1,doy_stage_2,doy_stage_3,doy_stage_4,shoot_height_date,shoot_height_date,photo_max_date,photo_max_date,biomass_root,biomass_old_shoot,biomass_new_shoot,biomass_adventitious_shoots,number_adventitious_shoots,status,,,,,,,
1,control,Pico_Con_B1_R1,Pico,Con,1,1,control,NA,mag_den,April,Dez,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38 ,non-porous,evergreen,12.2,,,27,,,,,13.4,,,,44,,,,,132,,,,,,,23.4,10.4,5.7,0.0,0.0,,,,,,,,
2,control,Pico_Con_B1_R2,Pico,Con,1,2,control,NA,mag_den,April,Dez,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38 ,non-porous,evergreen,8.3,,,26,,,,,10.5,,,,35.5,,"SAM dead, highest side",,,132,,,,,,,15.7,10.1,1.5,0.0,0.0,,,,,,,,
1,control,Pico_Con_B1_R3,Pico,Con,1,3,control,NA,mag_den,April,Dez,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,4.6,,,17,,,,,6.8,,,,20,,,,132,,,,,,,,4.0,2.9,0.9,0.0,0.0,,,,,,,,
2,control,Pico_Con_B1_R4,Pico,Con,1,4,control,NA,mag_den,April,Dez,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,6.2,,,22,,,,,8.4,,,,30,,,,,132,,,,,,,10.7,5.4,1.9,0.0,0.0,,,,,,,,
1,control,Pico_Con_B1_R5,Pico,Con,1,5,control,NA,swiss_den,April,Dez,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.4,,,28,,,,,14,,,,50,,"SAM dead, highest side",,,132,,,,,,,25.1,19.8,5.8,0.0,0.0,,,,,,,,
2,control,Pico_Con_B2_R6,Pico,Con,2,6,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.5,,,27,,,,,10.9,,,,49,,,,132,,,,,,,,20.6,13.2,7.4,0.0,0.0,,,,,,,,
1,control,Pico_Con_B2_R7,Pico,Con,2,7,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.9,,,34,,,,,10.9,,,,42,,,,132,,,,,,,,18.2,13.5,4.8,0.0,0.0,,,,,,,,
2,control,Pico_Con_B2_R8,Pico,Con,2,8,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.1,,,31,,,,,8.9,,,,55,,,,,132,,,,,,,10.0,9.1,3.4,0.0,0.0,,,,,,,,
1,control,Pico_Con_B2_R9,Pico,Con,2,9,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.7,,,43,,,,,12.7,,,,58,,,,132,135,,,,,,,15.1,18.1,3.2,0.0,0.0,,,,,,,,
2,control,Pico_Con_B2_R10,Pico,Con,2,10,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.6,,,34,,,,,11.5,,,,53.5,,,,132,,,,,,,,18.6,14.2,4.2,0.0,0.0,,,,,,,,
1,control,Pico_Con_B3_R11,Pico,Con,3,11,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,10.2,,,21.5,,,,,12.1,,,,42,,,,,132,,,,,,,20.3,10.0,8.4,0.0,0.0,,,,,,,,
2,control,Pico_Con_B3_R12,Pico,Con,3,12,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,10.8,,,34.5,,,,,14.2,,,,59,,,,,,132,,,,,,34.5,26.0,7.8,0.0,0.0,,,,,,,,
1,control,Pico_Con_B3_R13,Pico,Con,3,13,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.1,,,21.5,,,,,11.3,,,,48,,,,,132,,,,,,,19.4,14.7,3.5,0.0,0.0,,,,,,,,
2,control,Pico_Con_B3_R14,Pico,Con,3,14,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.7,,,23.5,,,,,10.8,,,,38.5,,"SAM done, measured from side",,132,135,,,,,,,15.4,12.6,3.7,0.0,0.0,,,,,,,,
1,control,Pico_Con_B3_R15,Pico,Con,3,15,control,NA,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.6,,,41,,,,,12,,,,49,,,,,132,,,,,,,26.5,16.2,4.9,0.0,0.0,,,,,,,,
