#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,Button Down,End of File
1,03-17-2023 12:00:00,30.64,16.32,2.24,,,
2,03-17-2023 12:10:00,30.63,16.06,2.01,,,
3,03-17-2023 12:20:00,30.59,16.03,1.95,,,
4,03-17-2023 12:30:00,30.54,15.99,1.89,,,
5,03-17-2023 12:40:00,30.55,16.24,2.11,,,
6,03-17-2023 12:50:00,30.55,16.44,2.28,,,
7,03-17-2023 13:00:00,30.52,16.48,2.29,,,
8,03-17-2023 13:10:00,30.54,16.54,2.36,,,
9,03-17-2023 13:20:00,30.49,16.54,2.31,,,
10,03-17-2023 13:30:00,30.52,16.53,2.33,,,
11,03-17-2023 13:40:00,30.50,16.64,2.41,,,
12,03-17-2023 13:50:00,30.47,16.74,2.46,,,
13,03-17-2023 14:00:00,30.51,16.84,2.58,,,
14,03-17-2023 14:10:00,30.50,16.95,2.66,,,
15,03-17-2023 14:20:00,30.52,17.34,3.00,,,
16,03-17-2023 14:30:00,30.46,17.81,3.33,,,
17,03-17-2023 14:40:00,30.47,17.96,3.46,,,
18,03-17-2023 14:50:00,30.49,17.93,3.45,,,
19,03-17-2023 15:00:00,30.50,17.93,3.46,,,
20,03-17-2023 15:10:00,30.50,17.73,3.30,,,
21,03-17-2023 15:20:00,30.51,17.45,3.08,,,
22,03-17-2023 15:30:00,30.46,17.36,2.96,,,
23,03-17-2023 15:40:00,30.51,17.29,2.96,,,
24,03-17-2023 15:50:00,30.50,17.20,2.88,,,
25,03-17-2023 16:00:00,30.50,16.99,2.70,,,
26,03-17-2023 16:10:00,30.51,16.89,2.62,,,
27,03-17-2023 16:20:00,30.51,16.77,2.52,,,
28,03-17-2023 16:30:00,30.48,16.68,2.42,,,
29,03-17-2023 16:40:00,30.51,16.54,2.33,,,
30,03-17-2023 16:50:00,30.50,16.60,2.37,,,
31,03-17-2023 17:00:00,30.49,16.68,2.43,,,
32,03-17-2023 17:10:00,30.49,16.90,2.62,,,
33,03-17-2023 17:20:00,30.49,16.96,2.67,,,
34,03-17-2023 17:30:00,30.50,16.91,2.64,,,
35,03-17-2023 17:40:00,30.50,16.75,2.50,,,
36,03-17-2023 17:50:00,30.49,16.53,2.30,,,
37,03-17-2023 18:00:00,30.50,16.11,1.96,,,
38,03-17-2023 18:10:00,30.50,15.57,1.48,,,
39,03-17-2023 18:20:00,30.48,15.19,1.12,,,
40,03-17-2023 18:30:00,30.50,15.27,1.20,,,
41,03-17-2023 18:40:00,30.51,15.22,1.17,,,
42,03-17-2023 18:50:00,30.54,15.07,1.06,,,
43,03-17-2023 19:00:00,30.38,15.14,1.00,,,
44,03-17-2023 19:10:00,30.35,15.11,0.94,,,
45,03-17-2023 19:20:00,30.36,15.19,1.02,,,
46,03-17-2023 19:30:00,30.35,15.31,1.12,,,
47,03-17-2023 19:40:00,30.37,15.32,1.15,,,
48,03-17-2023 19:50:00,30.35,15.16,0.98,,,
49,03-17-2023 20:00:00,30.35,15.14,0.97,,,
50,03-17-2023 20:10:00,30.37,15.22,1.05,,,
51,03-17-2023 20:20:00,30.33,15.17,0.98,,,
52,03-17-2023 20:30:00,30.37,15.34,1.16,,,
53,03-17-2023 20:40:00,30.34,15.37,1.17,,,
54,03-17-2023 20:50:00,30.39,15.41,1.25,,,
55,03-17-2023 21:00:00,30.36,15.57,1.36,,,
56,03-17-2023 21:10:00,30.34,15.72,1.48,,,
57,03-17-2023 21:20:00,30.37,15.85,1.62,,,
58,03-17-2023 21:30:00,30.34,15.95,1.69,,,
59,03-17-2023 21:40:00,30.33,15.85,1.59,,,
60,03-17-2023 21:50:00,30.36,15.76,1.54,,,
61,03-17-2023 22:00:00,30.31,15.85,1.57,,,
62,03-17-2023 22:10:00,27.85,17.19,0.73,,,
63,03-17-2023 22:20:00,20.74,24.44,-0.29,,,
64,03-17-2023 22:30:00,19.76,26.33,-0.10,,,
65,03-17-2023 22:40:00,19.76,26.55,0.02,,,
66,03-17-2023 22:50:00,19.86,26.65,0.15,,,
67,03-17-2023 23:00:00,19.90,26.60,0.16,,,
68,03-17-2023 23:10:00,19.92,26.90,0.33,,,
69,03-17-2023 23:20:00,19.96,27.06,0.45,,,
70,03-17-2023 23:30:00,19.97,27.19,0.52,,,
71,03-17-2023 23:40:00,19.98,27.22,0.54,,,
72,03-17-2023 23:50:00,19.98,27.00,0.43,,,
73,03-18-2023 00:00:00,20.00,26.97,0.44,,,
74,03-18-2023 00:10:00,20.02,26.64,0.28,,,
75,03-18-2023 00:20:00,20.01,26.73,0.32,,,
76,03-18-2023 00:30:00,20.01,26.73,0.32,,,
77,03-18-2023 00:40:00,20.03,26.61,0.27,,,
78,03-18-2023 00:50:00,20.00,26.64,0.27,,,
79,03-18-2023 01:00:00,19.98,26.58,0.21,,,
80,03-18-2023 01:10:00,20.02,26.66,0.29,,,
81,03-18-2023 01:20:00,20.01,26.45,0.18,,,
82,03-18-2023 01:30:00,20.02,26.41,0.16,,,
83,03-18-2023 01:40:00,20.03,26.19,0.06,,,
84,03-18-2023 01:50:00,20.04,26.17,0.05,,,
85,03-18-2023 02:00:00,20.01,26.26,0.08,,,
86,03-18-2023 02:10:00,20.01,26.53,0.22,,,
87,03-18-2023 02:20:00,20.02,26.34,0.13,,,
88,03-18-2023 02:30:00,20.01,26.29,0.09,,,
89,03-18-2023 02:40:00,20.01,26.31,0.10,,,
90,03-18-2023 02:50:00,20.01,26.40,0.15,,,
91,03-18-2023 03:00:00,19.98,26.48,0.16,,,
92,03-18-2023 03:10:00,19.97,26.59,0.21,,,
93,03-18-2023 03:20:00,20.01,26.68,0.30,,,
94,03-18-2023 03:30:00,20.03,26.31,0.12,,,
95,03-18-2023 03:40:00,20.01,26.28,0.08,,,
