#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,03-17-2023 10:30:00,27.42,21.61,3.58,,
2,03-17-2023 10:40:00,15.67,38.53,1.60,,
3,03-17-2023 10:50:00,7.28,47.01,-3.27,,
4,03-17-2023 10:55:57,,,,Logged,
5,03-17-2023 11:00:00,4.77,53.21,-3.94,,
6,03-17-2023 11:10:00,4.63,54.50,-3.75,,
7,03-17-2023 11:20:00,3.87,51.47,-5.22,,
8,03-17-2023 11:30:00,17.80,33.46,1.52,,
9,03-17-2023 11:40:00,23.82,30.35,5.38,,
10,03-17-2023 11:50:00,24.12,24.10,2.36,,
11,03-17-2023 12:00:00,23.18,24.85,2.00,,
12,03-17-2023 12:10:00,22.71,25.02,1.70,,
13,03-17-2023 12:20:00,22.46,25.13,1.54,,
14,03-17-2023 12:30:00,22.32,25.33,1.54,,
15,03-17-2023 12:40:00,22.24,25.65,1.65,,
16,03-17-2023 12:50:00,22.17,26.00,1.77,,
17,03-17-2023 13:00:00,22.13,26.05,1.77,,
18,03-17-2023 13:10:00,22.14,26.28,1.90,,
19,03-17-2023 13:20:00,22.09,26.13,1.78,,
20,03-17-2023 13:30:00,22.09,26.28,1.86,,
21,03-17-2023 13:40:00,22.06,26.40,1.89,,
22,03-17-2023 13:50:00,22.06,26.57,1.99,,
23,03-17-2023 14:00:00,22.04,26.78,2.08,,
24,03-17-2023 14:10:00,22.04,26.81,2.09,,
25,03-17-2023 14:20:00,22.07,27.42,2.44,,
26,03-17-2023 14:30:00,22.05,27.80,2.61,,
27,03-17-2023 14:40:00,22.05,28.09,2.76,,
28,03-17-2023 14:50:00,22.05,28.16,2.79,,
29,03-17-2023 15:00:00,22.04,28.06,2.73,,
30,03-17-2023 15:10:00,22.06,27.90,2.67,,
31,03-17-2023 15:20:00,22.01,27.57,2.46,,
32,03-17-2023 15:30:00,22.03,27.49,2.43,,
33,03-17-2023 15:40:00,21.99,27.23,2.27,,
34,03-17-2023 15:50:00,22.01,26.85,2.08,,
35,03-17-2023 16:00:00,21.97,26.50,1.88,,
36,03-17-2023 16:10:00,21.99,26.33,1.80,,
37,03-17-2023 16:20:00,21.96,26.27,1.74,,
38,03-17-2023 16:30:00,22.01,25.90,1.58,,
39,03-17-2023 16:40:00,21.95,26.14,1.67,,
40,03-17-2023 16:50:00,21.94,26.43,1.81,,
41,03-17-2023 17:00:00,21.93,26.43,1.80,,
42,03-17-2023 17:10:00,21.92,26.62,1.89,,
43,03-17-2023 17:20:00,21.93,26.85,2.02,,
44,03-17-2023 17:30:00,21.93,26.82,2.01,,
45,03-17-2023 17:40:00,21.91,26.65,1.90,,
46,03-17-2023 17:50:00,21.93,26.39,1.78,,
47,03-17-2023 18:00:00,21.87,25.74,1.38,,
48,03-17-2023 18:10:00,21.89,25.24,1.12,,
49,03-17-2023 18:20:00,21.99,25.24,1.21,,
50,03-17-2023 18:30:00,21.99,25.59,1.41,,
51,03-17-2023 18:40:00,23.84,24.04,2.09,,
52,03-17-2023 18:50:00,14.67,31.40,-2.09,,
53,03-17-2023 19:00:00,8.04,54.96,-0.45,,
54,03-17-2023 19:10:00,6.06,53.83,-2.59,,
55,03-17-2023 19:20:00,5.43,59.06,-1.92,,
56,03-17-2023 19:30:00,5.25,66.65,-0.44,,
57,03-17-2023 19:40:00,5.16,57.82,-2.47,,
58,03-17-2023 19:50:00,5.12,57.20,-2.64,,
59,03-17-2023 20:00:00,5.11,68.00,-0.30,,
60,03-17-2023 20:10:00,4.41,55.91,-3.62,,
61,03-17-2023 20:20:00,4.07,63.96,-2.13,,
62,03-17-2023 20:30:00,3.99,72.50,-0.50,,
63,03-17-2023 20:40:00,3.92,63.15,-2.44,,
64,03-17-2023 20:50:00,3.88,67.58,-1.56,,
65,03-17-2023 21:00:00,3.92,73.69,-0.34,,
66,03-17-2023 21:10:00,3.86,63.45,-2.44,,
67,03-17-2023 21:20:00,3.80,63.10,-2.56,,
