"","species","treatment","id","a","b","c","type","per10","per50","per90"
"1","Prvi","Con","Prvi_Con_B1_R1",13.9201208077033,264.340581627379,-5.30303405655295,"A",275.992538390889,264.340581627379,252.68862486387
"2","Prvi","Con","Prvi_Con_B1_R2",12.8021881095764,266.839758674754,-3.27384533763579,"A",274.033132113005,266.839758674754,259.646385236503
"3","Prvi","Con","Prvi_Con_B1_R3",14.4600711999678,263.53366150227,-1.53401725355722,"A",266.904241913844,263.53366150227,260.163081090696
"4","Prvi","Con","Prvi_Con_B1_R4",20.1481604479849,260.051541181426,-8.51757521257175,"A",278.766566777798,260.051541181426,241.336515585053
"5","Prvi","Con","Prvi_Con_B1_R5",15.0248812567539,256.370787266549,-14.6025127476035,"A",288.455787166449,256.370787266549,224.285787366649
"6","Prvi","Con","Prvi_Con_B3_R11",9.35999476070809,257.217071803721,-9.17826207365935,"A",277.383774809199,257.217071803721,237.050368798244
"7","Prvi","Con","Prvi_Con_B3_R12",15.174016392974,269.212085497277,-8.69998039295704,"A",288.327896239025,269.212085497277,250.096274755528
"8","Prvi","Con","Prvi_Con_B3_R13",17.9083427908817,273.192626713933,-8.17389078283711,"A",291.152500434445,273.192626713933,255.232752993421
"9","Prvi","Con","Prvi_Con_B3_R14",9.67061443650453,271.218029872037,-1.07101898666449,"A",273.57129911233,271.218029872037,268.864760631744
"10","Prvi","Con","Prvi_Con_B3_R15",12.3335881313667,256.280091741562,-8.23870391233732,"A",274.382374463146,256.280091741562,238.177809019978
"11","Prvi","Dro3","Prvi_Dro3_B1_R2",6.05720420758359,269.806468808353,-4.54401116521608,"A",279.790681820256,269.806468808353,259.82225579645
"12","Prvi","Dro3","Prvi_Dro3_B1_R3",7.2085394330306,269.869614322457,-3.0947184627062,"A",276.669405788652,269.869614322457,263.069822856263
"13","Prvi","Dro3","Prvi_Dro3_B1_R4",8.49753920518987,268.509210084876,-2.82213282002941,"A",274.710069677552,268.509210084876,262.3083504922
"14","Prvi","Dro3","Prvi_Dro3_B1_R5",7.25539510338328,267.859977392212,-1.52311029628768,"A",271.206592769209,267.859977392212,264.513362015215
"15","Prvi","Dro3","Prvi_Dro3_B3_R11",6.56898307630527,267.836018844211,-1.22202503330101,"A",270.5210822815,267.836018844211,265.150955406922
"16","Prvi","Dro3","Prvi_Dro3_B3_R14",8.49245836297166,271.051974947152,-0.580726448335841,"A",272.327961372144,271.051974947152,269.775988522159
"17","Prvi","GS_ext","Prvi_GS_ext_B1_R1",13.1586929111743,264.149009818934,-1.27873453749878,"A",266.958676772615,264.149009818934,261.339342865253
"18","Prvi","GS_ext","Prvi_GS_ext_B1_R2",16.0022099542946,269.326937197994,-2.31890749536017,"A",274.422097739368,269.326937197994,264.231776656619
"19","Prvi","GS_ext","Prvi_GS_ext_B1_R3",12.421079492925,265.388761525877,-3.93896077345812,"A",274.043542946483,265.388761525877,256.733980105272
"20","Prvi","GS_ext","Prvi_GS_ext_B1_R4",12.8720359511738,264.111316725381,-3.68615695444041,"A",272.210631381596,264.111316725381,256.012002069166
"21","Prvi","GS_ext","Prvi_GS_ext_B1_R5",12.7732312392736,262.653723782271,-4.36174392478128,"A",272.237454733848,262.653723782271,253.069992830695
"22","Prvi","GS_ext","Prvi_GS_ext_B3_R11",10.184794432125,261.254004181012,-6.29874350305041,"A",275.093758212252,261.254004181012,247.414250149773
"23","Prvi","GS_ext","Prvi_GS_ext_B3_R12",14.5352791917209,266.98649603313,-3.79537313317156,"A",275.325783161496,266.98649603313,258.647208904764
"24","Prvi","GS_ext","Prvi_GS_ext_B3_R13",11.2792010545528,251.645107922311,-9.98604552464947,"A",273.586692579469,251.645107922311,229.703523265153
"25","Prvi","GS_ext","Prvi_GS_ext_B3_R14",19.0655609014361,268.346798193524,-10.306551808429,"A",290.992607134593,268.346798193524,245.700989252454
"26","Prvi","GS_ext","Prvi_GS_ext_B3_R15",14.0842480938275,263.299424408768,-5.2484467076703,"A",274.831440507701,263.299424408768,251.767408309836
"27","Acma","Con","Acma_Con_B1_R1",9.5479759285701,274.490564805431,-17.1082342035158,"A",312.08119747222,274.490564805431,236.899932138642
"28","Acma","Con","Acma_Con_B1_R3",7.93359417719861,267.157839570346,-10.2651012721855,"A",289.712572374437,267.157839570346,244.603106766255
"29","Acma","Con","Acma_Con_B1_R4",10.4277658921266,269.759303044969,-13.2724116144145,"A",298.921772044684,269.759303044969,240.596834045255
"30","Acma","Con","Acma_Con_B1_R5",7.57173293147584,271.865765063112,-5.85789390444778,"A",284.736873521393,271.865765063112,258.994656604832
"31","Acma","Con","Acma_Con_B3_R11",8.64752521596956,268.594297990084,-6.54764736308313,"A",282.980949699981,268.594297990084,254.207646280187
"32","Acma","Con","Acma_Con_B3_R12",9.14683262896309,258.144105677223,-11.896066929864,"A",284.282436309157,258.144105677223,232.005775045289
"33","Acma","Con","Acma_Con_B3_R13",7.33676726405891,263.673130524755,-7.29741879786276,"A",279.707198458534,263.673130524755,247.639062590975
"34","Acma","Con","Acma_Con_B3_R14",10.2447774072094,260.906705468081,-9.35975142951684,"A",281.472181346774,260.906705468081,240.341229589389
"35","Acma","Con","Acma_Con_B3_R15",9.91206863440202,258.402220739861,-10.7486798995069,"A",282.019484388978,258.402220739861,234.784957090745
"36","Acma","Dro3","Acma_Dro3_B1_R3",9.34513737104673,284.569026222022,-22.1274677335699,"A",333.188042160436,284.569026222022,235.950010283608
"37","Acma","Dro3","Acma_Dro3_B1_R4",5.57043441114116,277.386670311166,-2.95934557317422,"A",283.889017137376,277.386670311166,270.884323484957
"38","Acma","Dro3","Acma_Dro3_B3_R13",5.12227150834728,265.74130647565,-6.3993707187261,"A",279.802161098321,265.74130647565,251.68045185298
"39","Acma","Dro3","Acma_Dro3_B3_R14",4.43322717807211,271.426553493377,-0.438491047003377,"A",272.390016798795,271.426553493377,270.46309018796
"40","Acma","GS_ext","Acma_GS_ext_B1_R2",7.76396832736195,273.129074789204,-5.91340908604309,"A",286.122162568902,273.129074789204,260.135987009507
"41","Acma","GS_ext","Acma_GS_ext_B1_R3",5.73597216861484,272.864301821967,-4.41538927802256,"A",282.565903662145,272.864301821967,263.162699981789
"42","Acma","GS_ext","Acma_GS_ext_B1_R4",5.29736791047866,270.7792526498,-1.68916586025806,"A",274.490729393156,270.7792526498,267.067775906444
"43","Acma","GS_ext","Acma_GS_ext_B1_R5",7.38563323430937,265.106689705226,-1.79349004342969,"A",269.047390107858,265.106689705226,261.165989302595
"44","Acma","GS_ext","Acma_GS_ext_B3_R11",8.21409819912243,265.19001244535,-6.34000562737289,"A",279.120428630264,265.19001244535,251.259596260437
"45","Acma","GS_ext","Acma_GS_ext_B3_R12",9.85433647086423,264.716260513827,-7.21055268113356,"A",280.559464080992,264.716260513827,248.873056946663
"46","Acma","GS_ext","Acma_GS_ext_B3_R13",7.56306914433032,266.521942185408,-5.22690516877314,"A",278.006626685642,266.521942185408,255.037257685174
"47","Acma","GS_ext","Acma_GS_ext_B3_R14",8.84102096144657,266.301817413236,-9.61949802039643,"A",287.438014885289,266.301817413236,245.165619941184
"48","Acma","GS_ext","Acma_GS_ext_B3_R15",5.52941403904552,271.260597965616,-0.622462535800619,"A",272.628287947749,271.260597965616,269.892907983484
"49","Bepa","Con","Bepa_Con_B1_R2",14.7486510647702,291.923388853521,-5.57474656679708,"A",304.172359022508,291.923388853521,279.674418684534
"50","Bepa","Con","Bepa_Con_B1_R5",10.3233627983757,221.574792707319,8.43249100857137,"A",203.046716215119,221.574792707319,240.102869199519
"51","Bepa","Con","Bepa_Con_B3_R11",12.6556048373423,273.584422568002,-8.17061931641209,"A",291.537108142081,273.584422568002,255.631736993924
"52","Bepa","Con","Bepa_Con_B3_R15",12.8922677645251,271.255316697533,-1.14269320607392,"A",273.766070294274,271.255316697533,268.744563100793
"53","Bepa","Dro3","Bepa_Dro3_B1_R1",15.1822362220521,298.682383576474,-12.0360544373009,"A",325.128298200268,298.682383576474,272.23646895268
"54","Bepa","Dro3","Bepa_Dro3_B1_R3",8.90738531018478,298.584320990336,-10.9384517156419,"A",322.61855593795,298.584320990336,274.550086042722
"55","Bepa","Dro3","Bepa_Dro3_B1_R5",13.5349001525539,283.180976932584,-1.99813757534509,"A",287.571333922031,283.180976932584,278.790619943136
