#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,03-17-2023 12:00:00,3.72,66.76,-1.88,,
2,03-17-2023 12:10:00,3.65,61.40,-3.07,,
3,03-17-2023 12:20:00,3.62,57.93,-3.88,,
4,03-17-2023 12:30:00,3.48,71.05,-1.26,,
5,03-17-2023 12:40:00,3.62,65.23,-2.29,,
6,03-17-2023 12:50:00,3.70,62.42,-2.81,,
7,03-17-2023 13:00:00,3.61,70.04,-1.33,,
8,03-17-2023 13:10:00,3.56,61.64,-3.11,,
9,03-17-2023 13:20:00,3.64,63.37,-2.66,,
10,03-17-2023 13:30:00,3.68,68.35,-1.60,,
11,03-17-2023 13:40:00,3.64,65.49,-2.22,,
12,03-17-2023 13:50:00,3.64,59.41,-3.52,,
13,03-17-2023 14:00:00,3.53,71.19,-1.20,,
14,03-17-2023 14:10:00,3.68,67.34,-1.81,,
15,03-17-2023 14:20:00,3.70,62.32,-2.83,,
16,03-17-2023 14:30:00,3.63,70.55,-1.22,,
17,03-17-2023 14:40:00,3.58,64.79,-2.42,,
18,03-17-2023 14:50:00,3.62,63.02,-2.75,,
19,03-17-2023 15:00:00,3.70,68.80,-1.50,,
20,03-17-2023 15:10:00,3.68,66.91,-1.89,,
21,03-17-2023 15:20:00,3.73,59.33,-3.46,,
22,03-17-2023 15:30:00,3.54,70.90,-1.24,,
23,03-17-2023 15:40:00,3.62,68.83,-1.56,,
24,03-17-2023 15:50:00,3.71,62.28,-2.83,,
25,03-17-2023 16:00:00,3.70,70.09,-1.24,,
26,03-17-2023 16:10:00,3.61,67.23,-1.89,,
27,03-17-2023 16:20:00,3.56,62.34,-2.96,,
28,03-17-2023 16:30:00,3.64,69.12,-1.48,,
29,03-17-2023 16:40:00,3.68,68.40,-1.60,,
30,03-17-2023 16:50:00,3.79,59.42,-3.38,,
31,03-17-2023 17:00:00,3.56,70.58,-1.28,,
32,03-17-2023 17:10:00,3.52,70.34,-1.37,,
33,03-17-2023 17:20:00,3.70,62.28,-2.84,,
34,03-17-2023 17:30:00,3.69,70.04,-1.26,,
35,03-17-2023 17:40:00,3.67,68.88,-1.51,,
36,03-17-2023 17:50:00,3.53,61.92,-3.08,,
37,03-17-2023 18:00:00,3.32,67.16,-2.18,,
38,03-17-2023 18:10:00,5.35,66.79,-0.32,,
39,03-17-2023 18:20:00,6.22,55.63,-1.99,,
40,03-17-2023 18:30:00,6.46,62.90,-0.08,,
41,03-17-2023 18:40:00,6.45,61.42,-0.42,,
42,03-17-2023 18:50:00,7.56,53.24,-1.34,,
43,03-17-2023 19:00:00,4.37,73.57,0.07,,
44,03-17-2023 19:10:00,3.61,75.87,-0.24,,
45,03-17-2023 19:20:00,3.32,73.47,-0.96,,
46,03-17-2023 19:30:00,3.24,81.86,0.44,,
47,03-17-2023 19:40:00,3.24,80.56,0.22,,
48,03-17-2023 19:50:00,3.39,76.20,-0.40,,
49,03-17-2023 20:00:00,3.29,83.11,0.70,,
50,03-17-2023 20:10:00,3.14,82.09,0.38,,
51,03-17-2023 20:20:00,3.26,77.35,-0.32,,
52,03-17-2023 20:30:00,3.24,84.65,0.90,,
53,03-17-2023 20:40:00,3.32,81.66,0.49,,
54,03-17-2023 20:50:00,3.25,76.27,-0.52,,
55,03-17-2023 21:00:00,3.16,84.34,0.78,,
56,03-17-2023 21:10:00,3.17,82.65,0.51,,
57,03-17-2023 21:20:00,3.40,77.04,-0.24,,
58,03-17-2023 21:30:00,3.24,84.05,0.80,,
59,03-17-2023 21:40:00,3.15,83.36,0.61,,
60,03-17-2023 21:50:00,3.24,77.85,-0.25,,
61,03-17-2023 22:00:00,3.20,84.93,0.92,,
62,03-17-2023 22:10:00,3.25,83.25,0.68,,
63,03-17-2023 22:20:00,3.24,76.82,-0.44,,
64,03-17-2023 22:30:00,3.14,84.57,0.80,,
65,03-17-2023 22:40:00,3.14,83.77,0.66,,
66,03-17-2023 22:50:00,3.29,77.53,-0.26,,
67,03-17-2023 23:00:00,3.23,84.66,0.89,,
68,03-17-2023 23:10:00,3.09,84.50,0.73,,
69,03-17-2023 23:20:00,3.20,78.16,-0.23,,
70,03-17-2023 23:30:00,3.16,85.20,0.92,,
71,03-17-2023 23:40:00,3.23,84.98,0.95,,
