#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,03-17-2023 10:54:56,,Logged,,,
2,03-17-2023 10:55:05,,,Logged,,
3,03-17-2023 10:55:09,,,,Logged,
4,03-17-2023 10:55:10,24.804,,,,
5,03-17-2023 11:05:10,19.184,,,,
6,03-17-2023 11:15:10,12.192,,,,
7,03-17-2023 11:25:10,7.376,,,,
8,03-17-2023 11:35:10,5.928,,,,
9,03-17-2023 11:45:10,5.006,,,,
10,03-17-2023 11:55:10,4.373,,,,
11,03-17-2023 12:05:10,3.837,,,,
12,03-17-2023 12:15:10,3.901,,,,
13,03-17-2023 12:25:10,4.555,,,,
14,03-17-2023 12:35:10,4.287,,,,
15,03-17-2023 12:45:10,3.944,,,,
16,03-17-2023 12:55:10,3.730,,,,
17,03-17-2023 13:05:10,4.384,,,,
18,03-17-2023 13:15:10,4.502,,,,
19,03-17-2023 13:25:10,4.201,,,,
20,03-17-2023 13:35:10,3.805,,,,
21,03-17-2023 13:45:10,4.062,,,,
22,03-17-2023 13:55:10,4.706,,,,
23,03-17-2023 14:05:10,4.330,,,,
24,03-17-2023 14:15:10,3.976,,,,
25,03-17-2023 14:25:10,3.708,,,,
26,03-17-2023 14:35:10,4.384,,,,
27,03-17-2023 14:45:10,4.502,,,,
28,03-17-2023 14:55:10,4.180,,,,
29,03-17-2023 15:05:10,3.848,,,,
30,03-17-2023 15:15:10,4.105,,,,
31,03-17-2023 15:25:10,4.566,,,,
32,03-17-2023 15:35:10,4.416,,,,
33,03-17-2023 15:45:10,4.019,,,,
34,03-17-2023 15:55:10,3.751,,,,
35,03-17-2023 16:05:10,4.395,,,,
36,03-17-2023 16:15:10,4.523,,,,
37,03-17-2023 16:25:10,4.223,,,,
38,03-17-2023 16:35:10,3.794,,,,
39,03-17-2023 16:45:10,3.708,,,,
40,03-17-2023 16:55:10,3.901,,,,
41,03-17-2023 17:05:10,3.579,,,,
42,03-17-2023 17:15:10,3.354,,,,
43,03-17-2023 17:25:10,3.193,,,,
44,03-17-2023 17:35:10,3.526,,,,
45,03-17-2023 17:45:10,3.622,,,,
46,03-17-2023 17:55:10,3.236,,,,
47,03-17-2023 18:05:10,3.097,,,,
48,03-17-2023 18:15:10,3.333,,,,
49,03-17-2023 18:25:10,3.494,,,,
50,03-17-2023 18:35:10,2.947,,,,
51,03-17-2023 18:45:10,2.646,,,,
52,03-17-2023 18:55:10,2.550,,,,
53,03-17-2023 19:05:10,3.236,,,,
54,03-17-2023 19:15:10,2.582,,,,
